business_name,yelp_rating,yelp_price,yelp_category,yelp_review_count,inspection_score,business_latitude,inspection_type,business_city,risk_category,business_location,business_phone_number,inspection_id,business_id,business_address,inspection_date,violation_description,violation_id,business_longitude,business_state,business_postal_code
5A5 Steak Lounge,4.0,$$$,Steakhouses,1795,91,37.796921,Routine - Unscheduled,San Francisco,High Risk,"(37.796921, -122.400039)",,40185_20160712,40185,244 Jackson St,2016-07-12 00:00:00,Improper cooling methods,40185_20160712_103105,-122.400039,CA,94111
6001 California Market,4.0,$$,Grocery,49,82,37.783984,Routine - Unscheduled,San Francisco,Low Risk,"(37.783984, -122.481969)",,38072_20160524,38072,6001 California St,2016-05-24 00:00:00,Unclean or degraded floors walls or ceilings,38072_20160524_103154,-122.481969,CA,94121
7-ELEVEN #20473,3.0,$,Convenience Stores,56,94,37.742448,Routine - Unscheduled,San Francisco,Moderate Risk,"(37.742448, -122.490032)",,4665_20161220,4665,2222 TARAVAL St,2016-12-20 00:00:00,Moderate risk vermin infestation,4665_20161220_103131,-122.490032,CA,94116
7-Eleven Food Store,3.0,$,Convenience Stores,30,96,37.7262,Routine - Unscheduled,San Francisco,,"(37.7262, -122.464552)",+14155587111,4545_20161006,4545,2000 Ocean Ave,2016-10-06 00:00:00,,,-122.464552,CA,94127
7-Mission Restaurant,3.5,$,Vietnamese,201,81,37.778547,Routine - Unscheduled,San Francisco,Moderate Risk,"(37.778547, -122.41013)",+14155863298,18800_20160913,18800,150 07th St,2016-09-13 00:00:00,Inadequately cleaned or sanitized food contact surfaces,18800_20160913_103124,-122.41013,CA,94103
707 Sutter,3.5,$$,Korean,470,82,,Routine - Unscheduled,San Francisco,Moderate Risk,,,87285_20161128,87285,707 Sutter St,2016-11-28 00:00:00,Insufficient hot water or running water,87285_20161128_103129,,CA,94109
77 Chinese Cuisine,3.0,$,Chinese,162,65,37.791984,Routine - Unscheduled,San Francisco,Low Risk,"(37.791984, -122.399754)",,35659_20160527,35659,77 Battery St,2016-05-27 00:00:00,Improper food storage,35659_20160527_103139,-122.399754,CA,94111
901 Columbus Cafe,4.0,$,Cafes,310,88,37.803056,Routine - Unscheduled,San Francisco,Moderate Risk,"(37.803056, -122.414186)",,1568_20160205,1568,901 Columbus Ave,2016-02-05 00:00:00,Inadequately cleaned or sanitized food contact surfaces,1568_20160205_103124,-122.414186,CA,94133
A B C MARKET,4.5,$,Seafood Markets,294,96,37.749612,Routine - Unscheduled,San Francisco,Low Risk,"(37.749612, -122.408789)",,4920_20160810,4920,2801 BRYANT St,2016-08-10 00:00:00,Unclean nonfood contact surfaces,4920_20160810_103142,-122.408789,CA,94110
A Desi Cafe,4.5,$$,Indian,173,94,,Routine - Unscheduled,San Francisco,Low Risk,,+14155759088,83644_20160608,83644,1501 Noriega St,2016-06-08 00:00:00,Improper food storage,83644_20160608_103139,,CA,94112
A La Turca,4.0,$$,Turkish,665,63,37.786143,Routine - Unscheduled,San Francisco,Low Risk,"(37.786143, -122.417617)",,2110_20160906,2110,869 Geary St,2016-09-06 00:00:00,Inadequate warewashing facilities or equipment,2110_20160906_103143,-122.417617,CA,94109
A&M LIQUOR,4.0,$$,"Beer, Wine & Spirits",6,96,37.786928,Routine - Unscheduled,San Francisco,Moderate Risk,"(37.786928, -122.426964)",+14155932153,68258_20161026,68258,1600 SUTTER ST,2016-10-26 00:00:00,Moderate risk food holding temperature,68258_20161026_103120,-122.426964,CA,94109
A-1 BAKERY,3.5,$,Bakeries,28,88,37.724824,Routine - Unscheduled,San Francisco,Low Risk,"(37.724824, -122.460726)",+14155586923,619_20160525,619,1727 OCEAN Ave,2016-05-25 00:00:00,Wiping cloths not clean or properly stored or inadequate sanitizer,619_20160525_103149,-122.460726,CA,94112
A-1 Liquor & Grocery,4.5,$$,"Beer, Wine & Spirits",7,88,37.762434,Routine - Unscheduled,San Francisco,Moderate Risk,"(37.762434, -122.501281)",,61493_20161108,61493,4055 Irving St,2016-11-08 00:00:00,Inadequate and inaccessible handwashing facilities,61493_20161108_103119,-122.501281,CA,94122
A.G. Ferrari Foods,3.5,$$,Specialty Food,131,92,,Routine - Unscheduled,San Francisco,Moderate Risk,,,75765_20151019,75765,688 Mission St,2015-10-19 00:00:00,Inadequate and inaccessible handwashing facilities,75765_20151019_103119,,CA,94105
A.G. Ferrari Foods,3.5,$$,Specialty Food,131,93,,Routine - Unscheduled,San Francisco,High Risk,,,75726_20150211,75726,3490 California St,2015-02-11 00:00:00,High risk food holding temperature,75726_20150211_103103,,CA,94118
A.G. Ferrari Foods,3.5,$$,Specialty Food,131,88,,Routine - Unscheduled,San Francisco,Moderate Risk,,+14150342100,75732_20140826,75732,468 Castro St,2014-08-26 00:00:00,Noncompliance with shell fish tags or display,75732_20140826_103125,,CA,94114
A1 Geneva Bakery,3.5,$$,Steakhouses,81,79,37.715986,Routine - Unscheduled,San Francisco,High Risk,"(37.715986, -122.440039)",,35828_20161004,35828,959 GENEVA Ave,2016-10-04 00:00:00,High risk vermin infestation,35828_20161004_103114,-122.440039,CA,94112
A16,3.5,$$$,Italian,1794,96,37.800043,Routine - Unscheduled,San Francisco,Low Risk,"(37.800043, -122.442097)",+14155227444,10668_20160615,10668,2355 CHESTNUT ST,2016-06-15 00:00:00,Unclean or degraded floors walls or ceilings,10668_20160615_103154,-122.442097,CA,94123
ABC Bakery Cafe,3.0,$,Bakeries,270,72,37.796133,Routine - Unscheduled,San Francisco,High Risk,"(37.796133, -122.406237)",,68633_20160503,68633,650 Jackson St,2016-05-03 00:00:00,Improper cooling methods,68633_20160503_103105,-122.406237,CA,94133
ABC Super Market Inc,4.0,$,Bakeries,99,73,37.797753,Routine - Unscheduled,San Francisco,High Risk,"(37.797753, -122.407597)",,6944_20150922,6944,641 Broadway St,2015-09-22 00:00:00,High risk vermin infestation,6944_20150922_103114,-122.407597,CA,94133
ABE'S MARKET,3.5,$,Convenience Stores,5,98,37.772822,Routine - Unscheduled,San Francisco,,"(37.772822, -122.430498)",+14155862576,7095_20160304,7095,378 FILLMORE St,2016-03-04 00:00:00,,,-122.430498,CA,94117
ABSINTHE BRASSERIE & BAR,4.0,$$$,French,2942,90,37.77694,Routine - Unscheduled,San Francisco,Low Risk,"(37.77694, -122.422962)",+14155551590,3611_20160628,3611,398 HAYES St,2016-06-28 00:00:00,Improper food storage,3611_20160628_103139,-122.422962,CA,94102
ABSINTHE PASTRY,3.0,$$,Bakeries,417,94,37.777492,Routine - Unscheduled,San Francisco,Moderate Risk,"(37.777492, -122.421458)",,3642_20151029,3642,201 IVY St,2015-10-29 00:00:00,Moderate risk vermin infestation,3642_20151029_103131,-122.421458,CA,94102
ABV,4.5,$$,Cocktail Bars,385,86,,Routine - Unscheduled,San Francisco,Moderate Risk,,+14155335126,78642_20160629,78642,3174 16th St,2016-06-29 00:00:00,Foods not protected from contamination,78642_20160629_103133,,CA,94103
