business_name,yelp_rating,yelp_price,yelp_category,yelp_review_count,inspection_score,business_latitude,inspection_type,business_city,risk_category,business_location,business_phone_number,inspection_id,business_id,business_address,inspection_date,violation_description,violation_id,business_longitude,business_state,business_postal_code
Dumpling Kitchen,4.0,$$,Shanghainese,987,92,,Routine - Unscheduled,San Francisco,Low Risk,,+14155688938,76942_20160621,76942,1935 Taraval St,2016-06-21 00:00:00,Unapproved or unmaintained equipment or utensils,76942_20160621_103144,,CA,94116
Dunya Bistro,4.0,$$,Mediterranean,439,94,37.791694,Routine - Unscheduled,San Francisco,Low Risk,"(37.791694, -122.420944)",,70562_20161013,70562,1609 Polk St,2016-10-13 00:00:00,Improper or defective plumbing,70562_20161013_103150,-122.420944,CA,94109
Durso Cafe and Juice Bar,3.5,$$,Juice Bars & Smoothies,209,100,,Routine - Unscheduled,San Francisco,,,+14155369442,81512_20150311,81512,236 Townsend St,2015-03-11 00:00:00,,,,CA,
Dynamo,4.0,$,Coffee & Tea,1725,98,37.752928,Routine - Unscheduled,San Francisco,,"(37.752928, -122.407612)",,38423_20161109,38423,2760 24th St,2016-11-09 00:00:00,,,-122.407612,CA,94110
Dynamo Donut and Coffee,4.0,$,Coffee & Tea,1725,96,,Routine - Unscheduled,San Francisco,Low Risk,,,70254_20160909,70254,110 Yacht Rd,2016-09-09 00:00:00,Unclean nonfood contact surfaces,70254_20160909_103142,,CA,94123
E & J Fine Meats,4.5,$,"Beer, Wine & Spirits",37,88,,Routine - Unscheduled,San Francisco,Low Risk,,+14155820515,79252_20151230,79252,1706 Church St,2015-12-30 00:00:00,Wiping cloths not clean or properly stored or inadequate sanitizer,79252_20151230_103149,,CA,94122
E & O Kitchen and Bar,4.0,$$,Asian Fusion,658,92,,Routine - Unscheduled,San Francisco,Moderate Risk,,+14155690303,88475_20160826,88475,314 Sutter St,2016-08-26 00:00:00,Moderate risk food holding temperature,88475_20160826_103120,,CA,94108
E Tutto Qua,4.0,$$,Italian,1697,89,37.797665,Routine - Unscheduled,San Francisco,High Risk,"(37.797665, -122.406273)",,34395_20160729,34395,270 Columbus Ave,2016-07-29 00:00:00,Improper cooling methods,34395_20160729_103105,-122.406273,CA,94133
E-Z STOP MARKET,4.0,$,Delis,117,94,37.708356,Routine - Unscheduled,San Francisco,Low Risk,"(37.708356, -122.419989)",,4592_20160907,4592,2203 GENEVA Ave,2016-09-07 00:00:00,Improper food storage,4592_20160907_103139,-122.419989,CA,94134
EAGLE PIZZA,4.0,$$,Pizza,192,94,37.742688,Routine - Unscheduled,San Francisco,Low Risk,"(37.742688, -122.484541)",,2829_20160602,2829,1712 TARAVAL St,2016-06-02 00:00:00,Unclean or degraded floors walls or ceilings,2829_20160602_103154,-122.484541,CA,94116
EAST & WEST GOURMET FOOD,4.5,$,Imported Food,175,92,,Routine - Unscheduled,San Francisco,Moderate Risk,,,11572_20150502,11572,100 ALEMANY BLVD.,2015-05-02 00:00:00,Inadequately cleaned or sanitized food contact surfaces,11572_20150502_103124,,CA,94110
EASY MONEY,5.0,$,Convenience Stores,44,100,37.76338,Routine - Unscheduled,San Francisco,,"(37.76338, -122.482647)",,6802_20161007,6802,2312 IRVING St,2016-10-07 00:00:00,,,-122.482647,CA,94122
EATS,3.5,$$,American (Traditional),844,82,37.783221,Routine - Unscheduled,San Francisco,High Risk,"(37.783221, -122.459588)",,61093_20161006,61093,50 CLEMENT St,2016-10-06 00:00:00,Unclean hands or improper use of gloves,61093_20161006_103102,-122.459588,CA,94118
EBISU RESTAURANT,4.0,$$,Sushi Bars,1512,85,37.758941,Routine - Unscheduled,San Francisco,Moderate Risk,"(37.758941, -122.48591)",,1959_20160803,1959,1283 09th Ave,2016-08-03 00:00:00,Improper thawing methods,1959_20160803_103132,-122.48591,CA,94122
EDDIES CAFE,4.0,$,Soul Food,550,100,37.776898,Routine - Unscheduled,San Francisco,,"(37.776898, -122.438098)",,627_20140617,627,800 DIVISADERO St,2014-06-17 00:00:00,,,-122.438098,CA,94117
EDEN PLAZA CAFE,4.0,$,Delis,157,96,37.783954,Routine - Unscheduled,San Francisco,Moderate Risk,"(37.783954, -122.395699)",,811_20150928,811,600 HARRISON St,2015-09-28 00:00:00,Inadequate and inaccessible handwashing facilities,811_20150928_103119,-122.395699,CA,94107
EDINBURGH CASTLE PUB,4.0,$,Pubs,496,86,37.786059,Routine - Unscheduled,San Francisco,Low Risk,"(37.786059, -122.418952)",,4037_20150707,4037,950 GEARY St,2015-07-07 00:00:00,Unapproved or unmaintained equipment or utensils,4037_20150707_103144,-122.418952,CA,94109
EL BURRITO EXPRESS #2,4.0,$,Mexican,578,90,37.786407,Routine - Unscheduled,San Francisco,Moderate Risk,"(37.786407, -122.440057)",+14155774246,628_20161130,628,1812 DIVISADERO St,2016-11-30 00:00:00,Inadequate food safety knowledge or lack of certified food safety manager,628_20161130_103116,-122.440057,CA,94115
EL CASTILLITO TAQUERIA INC.,4.0,$$,Mexican,1312,87,37.768776,Routine - Unscheduled,San Francisco,Low Risk,"(37.768776, -122.429095)",+14155623428,943_20161104,943,136 CHURCH St,2016-11-04 00:00:00,Improper food storage,943_20161104_103139,-122.429095,CA,94114
EL CHICO PRODUCE MARKET #4,4.0,$,Fruits & Veggies,34,80,37.752663,Routine - Unscheduled,San Francisco,Low Risk,"(37.752663, -122.411179)",,7738_20160915,7738,2965 24th St,2016-09-15 00:00:00,Unclean nonfood contact surfaces,7738_20160915_103142,-122.411179,CA,94110
EL FARO,2.5,$,Mexican,180,96,37.759054,Routine - Unscheduled,San Francisco,Moderate Risk,"(37.759054, -122.414656)",+14155648090,4922_20161121,4922,2399 FOLSOM St,2016-11-21 00:00:00,Moderate risk vermin infestation,4922_20161121_103131,-122.414656,CA,94110
EL FARO,2.5,$,Mexican,180,98,37.788613,Routine - Unscheduled,San Francisco,Low Risk,"(37.788613, -122.393894)",,409_20150414,409,82 01st St,2015-04-14 00:00:00,Improper or defective plumbing,409_20150414_103150,-122.393894,CA,94105
EL NORTENO,4.0,$,Mexican,155,92,37.776011,Routine - Unscheduled,San Francisco,Low Risk,"(37.776011, -122.402466)",+14150208621,5297_20160224,5297,801 bryant St,2016-02-24 00:00:00,Food safety certificate or food handler card not available,5297_20160224_103157,-122.402466,CA,94103
EL POLLO SUPREMO,4.0,$,Mexican,185,92,37.715469,Routine - Unscheduled,San Francisco,Moderate Risk,"(37.715469, -122.441846)",+14155335750,1994_20160810,1994,5210 MISSION St,2016-08-10 00:00:00,Improper thawing methods,1994_20160810_103132,-122.441846,CA,94112
EL SALVADOR RESTAURANT,4.0,$,Salvadoran,85,96,37.760579,Routine - Unscheduled,San Francisco,Moderate Risk,"(37.760579, -122.41932)",,539_20161031,539,2278 MISSION St,2016-10-31 00:00:00,Inadequate food safety knowledge or lack of certified food safety manager,539_20161031_103116,-122.41932,CA,94110
EL TACO LOCO INC.,3.5,$,Mexican,282,92,37.752308,Routine - Unscheduled,San Francisco,Low Risk,"(37.752308, -122.417881)",,2337_20161011,2337,3274 24th St,2016-10-11 00:00:00,Unapproved or unmaintained equipment or utensils,2337_20161011_103144,-122.417881,CA,94110
EL TONAYENSE CATERING TRUCK,4.0,$,Food Trucks,296,90,37.760583,Routine - Unscheduled,San Francisco,Low Risk,"(37.760583, -122.413239)",,5291_20160229,5291,3101 19th St,2016-02-29 00:00:00,Inadequate warewashing facilities or equipment,5291_20160229_103143,-122.413239,CA,94110
EL TORO TAQUERIA,3.5,$,Mexican,566,87,37.763458,Routine - Unscheduled,San Francisco,Moderate Risk,"(37.763458, -122.421784)",+14155433351,3839_20160815,3839,598 VALENCIA St,2016-08-15 00:00:00,Foods not protected from contamination,3839_20160815_103133,-122.421784,CA,94110
EL VALENCIANO,3.5,$$,Spanish,60,88,37.754434,Routine - Unscheduled,San Francisco,Low Risk,"(37.754434, -122.420846)",+14155829561,3757_20160622,3757,1153 VALENCIA St,2016-06-22 00:00:00,Wiping cloths not clean or properly stored or inadequate sanitizer,3757_20160622_103149,-122.420846,CA,94110
ELIZA'S RESTAURANT,3.5,$$,Chinese,467,92,37.787884,Routine - Unscheduled,San Francisco,Low Risk,"(37.787884, -122.441657)",,2866_20160921,2866,2877 CALIFORNIA St,2016-09-21 00:00:00,Improper food storage,2866_20160921_103139,-122.441657,CA,94115
EMPEROR PALACE RESTAURANT,3.5,$,Chinese,120,81,37.777253,Routine - Unscheduled,San Francisco,Moderate Risk,"(37.777253, -122.464359)",,2544_20161205,2544,0530 BALBOA St,2016-12-05 00:00:00,Foods not protected from contamination,2544_20161205_103133,-122.464359,CA,94118
EMPIRE MARKET,3.5,$,"Beer, Wine & Spirits",2,100,37.783682,Routine - Unscheduled,San Francisco,,"(37.783682, -122.414178)",,7519_20160712,7519,399 EDDY St,2016-07-12 00:00:00,,,-122.414178,CA,94102
ENO,4.5,$$,Wine Bars,320,92,,Routine - Unscheduled,San Francisco,Moderate Risk,,+14159306257,71962_20160401,71962,320 Geary St,2016-04-01 00:00:00,Inadequate and inaccessible handwashing facilities,71962_20160401_103119,,CA,94102
ERIC'S RESTAURANT,3.5,$$,Chinese,639,83,37.746759,Routine - Unscheduled,San Francisco,Moderate Risk,"(37.746759, -122.426995)",+14155280919,2684_20161102,2684,1500 Church St,2016-11-02 00:00:00,Moderate risk vermin infestation,2684_20161102_103131,-122.426995,CA,94131
ERNESTO'S,3.5,$$,Pizza,166,87,37.782033,Routine - Unscheduled,San Francisco,Moderate Risk,"(37.782033, -122.483969)",,10876_20160701,10876,2301 Clement St,2016-07-01 00:00:00,Moderate risk vermin infestation,10876_20160701_103131,-122.483969,CA,94121
ESPERPENTO RESTAURANT,3.5,$$,Spanish,1226,86,37.755303,Routine - Unscheduled,San Francisco,Low Risk,"(37.755303, -122.420649)",,1584_20160818,1584,3295 22nd St,2016-08-18 00:00:00,Unclean or degraded floors walls or ceilings,1584_20160818_103154,-122.420649,CA,94110
ESPRESSO ROMA CAFE,3.5,$,Cafes,102,87,37.798557,Routine - Unscheduled,San Francisco,Low Risk,"(37.798557, -122.435767)",,2048_20150518,2048,3130 FILLMORE St,2015-05-18 00:00:00,Unapproved or unmaintained equipment or utensils,2048_20150518_103144,-122.435767,CA,94115
EUROPA EXPRESS,3.0,$$,Grocery,37,79,37.774248,Routine - Unscheduled,San Francisco,High Risk,"(37.774248, -122.510043)",+14155644917,7488_20160712,7488,746-750 LA PLAYA St,2016-07-12 00:00:00,High risk food holding temperature,7488_20160712_103103,-122.510043,CA,94121
EVERGREEN MARKET,4.5,$$,Grocery,172,87,37.756385,Routine - Unscheduled,San Francisco,Low Risk,"(37.756385, -122.418816)",,7055_20161109,7055,2539 MISSION St,2016-11-09 00:00:00,No thermometers or uncalibrated thermometers,7055_20161109_103148,-122.418816,CA,94110
EXTREME  PIZZA,3.0,$$,Pizza,309,94,37.785657,Routine - Unscheduled,San Francisco,Moderate Risk,"(37.785657, -122.433147)",,2016_20150204,2016,1730 FILLMORE St,2015-02-04 00:00:00,Moderate risk vermin infestation,2016_20150204_103131,-122.433147,CA,94115
EXTREME PIZZA,3.0,$,Pizza,224,96,37.797578,Routine - Unscheduled,San Francisco,Low Risk,"(37.797578, -122.431883)",+14155928234,2555_20160929,2555,1980 UNION St,2016-09-29 00:00:00,Unapproved or unmaintained equipment or utensils,2555_20160929_103144,-122.431883,CA,94123
Eagle Cafe,3.5,$$,Seafood,593,96,37.792343,Routine - Unscheduled,San Francisco,Low Risk,"(37.792343, -122.398567)",,14688_20160831,14688,111 Pine St,2016-08-31 00:00:00,No thermometers or uncalibrated thermometers,14688_20160831_103148,-122.398567,CA,94111
Earth's Coffee,4.0,$,Coffee & Tea,76,100,,Routine - Unscheduled,San Francisco,,,+14155938628,84300_20150804,84300,3400 Geary Blvd,2015-08-04 00:00:00,,,,CA,94118
Earthbar,3.5,$$,Juice Bars & Smoothies,40,92,,Routine - Unscheduled,San Francisco,Low Risk,,,83889_20161214,83889,747 Market St,2016-12-14 00:00:00,Permit license or inspection report not posted,83889_20161214_103156,,CA,94103
Earthbar,3.5,$$,Juice Bars & Smoothies,40,92,,Routine - Unscheduled,San Francisco,Low Risk,,,79212_20160914,79212,2055 Union St,2016-09-14 00:00:00,Permit license or inspection report not posted,79212_20160914_103156,,CA,94123
Earthbar,3.5,$$,Juice Bars & Smoothies,40,94,,Routine - Unscheduled,San Francisco,Moderate Risk,,,83824_20160826,83824,301 Pine St,2016-08-26 00:00:00,Inadequate and inaccessible handwashing facilities,83824_20160826_103119,,CA,94104
East & West Gourmet Food,4.5,$,Imported Food,175,100,,Routine - Unscheduled,San Francisco,,,+14155249999,60631_20160615,60631,270 Noe St,2016-06-15 00:00:00,,,,CA,94114
Eastern Bakery Inc,4.0,$,Bakeries,99,81,37.793598,Routine - Unscheduled,San Francisco,Low Risk,"(37.793598, -122.406097)",,9679_20160531,9679,720 Grant Ave,2016-05-31 00:00:00,Unclean or degraded floors walls or ceilings,9679_20160531_103154,-122.406097,CA,94108
Eastside West,3.0,$$,Bars,466,96,37.798737,Routine - Unscheduled,San Francisco,Moderate Risk,"(37.798737, -122.435806)",,39851_20161006,39851,3154 FILLMORE St,2016-10-06 00:00:00,Noncompliance with HAACP plan or variance,39851_20161006_103127,-122.435806,CA,94123
Easy Breezy,4.0,$,Ice Cream & Frozen Yogurt,64,96,37.751418,Routine - Unscheduled,San Francisco,Low Risk,"(37.751418, -122.432602)",,69069_20160912,69069,4028 24th St,2016-09-12 00:00:00,Improper storage of equipment utensils or linens,69069_20160912_103145,-122.432602,CA,94114
Easy Breezy Frozen Yogurt,4.0,$,Ice Cream & Frozen Yogurt,64,100,,Routine - Unscheduled,San Francisco,,,+14155503351,81446_20160607,81446,4092 18th St,2016-06-07 00:00:00,,,,CA,94114
Easy Breezy Frozen Yogurt,4.0,$,Ice Cream & Frozen Yogurt,64,90,,Routine - Unscheduled,San Francisco,Low Risk,,+14155503351,74756_20160415,74756,718 Irving St,2016-04-15 00:00:00,Improper storage use or identification of toxic substances,74756_20160415_103138,,CA,94122
Eatsa,4.0,$,Fast Food,437,90,,Routine - Unscheduled,San Francisco,Low Risk,,,85731_20160622,85731,1 California St,2016-06-22 00:00:00,Improper food storage,85731_20160622_103139,,CA,94104
Eclectic Cookery,4.0,$$,Furniture Stores,130,98,,Routine - Unscheduled,San Francisco,Low Risk,,,77913_20150526,77913,101 Horne Ave,2015-05-26 00:00:00,Unclean or degraded floors walls or ceilings,77913_20150526_103154,,CA,
Eddy's Market,4.5,$,"Beer, Wine & Spirits",41,88,,Routine - Unscheduled,San Francisco,Moderate Risk,,+14155665151,80260_20160725,80260,951 Irving St,2016-07-25 00:00:00,Moderate risk food holding temperature,80260_20160725_103120,,CA,94122
Eden Cafe,4.0,$,Delis,26,84,,Routine - Unscheduled,San Francisco,Moderate Risk,,,69584_20170103,69584,47 FRANKLIN St,2017-01-03 00:00:00,Inadequate and inaccessible handwashing facilities,69584_20170103_103119,,CA,94102
Edible Arrangements,3.5,$$$,Gift Shops,67,98,,Routine - Unscheduled,San Francisco,Low Risk,,,83352_20160801,83352,515 Bay St,2016-08-01 00:00:00,Improper storage of equipment utensils or linens,83352_20160801_103145,,CA,94133
Edible Arrangements,3.5,$$$,Gift Shops,67,98,,Routine - Unscheduled,San Francisco,Low Risk,,+14155733120,80027_20160603,80027,312 West Portal Ave,2016-06-03 00:00:00,Wiping cloths not clean or properly stored or inadequate sanitizer,80027_20160603_103149,,CA,94127
"Edith's Food Company, Inc.",4.0,$$$$,Japanese,508,100,,Routine - Unscheduled,San Francisco,,,,76062_20160622,76062,505 Gene Friend Way,2016-06-22 00:00:00,,,,CA,94158
Eggette Cafe,3.5,$,Bubble Tea,486,100,37.753338,Routine - Unscheduled,San Francisco,,"(37.753338, -122.497572)",,14740_20161103,14740,3136 Noriega St,2016-11-03 00:00:00,,,-122.497572,CA,94122
Eight AM,4.5,$$,American (New),612,85,,Routine - Unscheduled,San Francisco,Low Risk,,,78781_20160811,78781,1323 Columbus Ave,2016-08-11 00:00:00,Unapproved or unmaintained equipment or utensils,78781_20160811_103144,,CA,94133
Eight Immortals,3.5,$,Chinese,329,86,37.742754,Routine - Unscheduled,San Francisco,Low Risk,"(37.742754, -122.481659)",,64549_20161212,64549,1433 Taraval St,2016-12-12 00:00:00,Unclean or degraded floors walls or ceilings,64549_20161212_103154,-122.481659,CA,94116
El Ahorro,4.5,$,Grocery,6,92,,Routine - Unscheduled,San Francisco,Moderate Risk,,,79525_20161215,79525,3456 Mission St,2016-12-15 00:00:00,Moderate risk food holding temperature,79525_20161215_103120,,CA,94110
El Aji Peruvian Restaurant,4.0,$$,Peruvian,37,100,,New Ownership,San Francisco,Low Risk,,+14155657349,87440_20160801,87440,3015 Mission St,2016-08-01 00:00:00,Inadequate dressing rooms or improper storage of personal items,87440_20160801_103153,,CA,94110
El Beach Burrito,2.5,$,Mexican,233,94,37.760851,Routine - Unscheduled,San Francisco,Moderate Risk,"(37.760851, -122.503998)",,11416_20160502,11416,3914 Judah St,2016-05-02 00:00:00,Inadequate food safety knowledge or lack of certified food safety manager,11416_20160502_103116,-122.503998,CA,
El Buen Comer,4.5,$$,Mexican,138,96,,Routine - Unscheduled,San Francisco,Low Risk,,+14155758652,81317_20161122,81317,3435 Mission St,2016-11-22 00:00:00,Wiping cloths not clean or properly stored or inadequate sanitizer,81317_20161122_103149,,CA,
El Cafetazo,3.5,$,Coffee & Tea,71,90,37.764903,Routine - Unscheduled,San Francisco,Low Risk,"(37.764903, -122.421439)",,23068_20160830,23068,3087 16th St,2016-08-30 00:00:00,Unapproved or unmaintained equipment or utensils,23068_20160830_103144,-122.421439,CA,94103
El Castillito Taqueria Star,4.0,$,Mexican,206,71,37.781788,Routine - Unscheduled,San Francisco,Low Risk,"(37.781788, -122.414704)",,36744_20160121,36744,250 Golden Gate Ave,2016-01-21 00:00:00,Unclean or degraded floors walls or ceilings,36744_20160121_103154,-122.414704,CA,94102
El Chico Produce Market #2,4.5,$,Fruits & Veggies,22,77,37.724489,Routine - Unscheduled,San Francisco,Low Risk,"(37.724489, -122.435026)",+14155586025,7216_20160924,7216,4600 Mission St,2016-09-24 00:00:00,Improper food storage,7216_20160924_103139,-122.435026,CA,94112
El Gallo Giro,4.5,$,Mexican,132,92,37.754218,Routine - Unscheduled,San Francisco,Low Risk,"(37.754218, -122.413285)",+14155572661,12199_20160628,12199,3055 23rd St,2016-06-28 00:00:00,Unclean or degraded floors walls or ceilings,12199_20160628_103154,-122.413285,CA,
El Gran Taco Loco,3.5,$,Mexican,175,81,37.743767,Routine - Unscheduled,San Francisco,High Risk,"(37.743767, -122.421158)",,32200_20160601,32200,3306 MISSION St,2016-06-01 00:00:00,High risk food holding temperature,32200_20160601_103103,-122.421158,CA,94110
El Mansour,4.0,$$$,Moroccan,509,85,37.781595,Routine - Unscheduled,San Francisco,Low Risk,"(37.781595, -122.492586)",,9298_20160526,9298,3121 clement st,2016-05-26 00:00:00,Unclean nonfood contact surfaces,9298_20160526_103142,-122.492586,CA,94121
El Metate Con Sabor Amexico,4.0,$,Mexican,991,92,,Routine - Unscheduled,San Francisco,Low Risk,,,70019_20150902,70019,2406 BRYANT St,2015-09-02 00:00:00,Inadequate ventilation or lighting,70019_20150902_103147,,CA,94110
El Nuevo Frutilandia,4.0,$$,Cuban,290,92,,Routine - Unscheduled,San Francisco,Moderate Risk,,,69885_20160727,69885,3077 24th St,2016-07-27 00:00:00,Inadequately cleaned or sanitized food contact surfaces,69885_20160727_103124,,CA,94110
El Paraiso,4.0,$,Sandwiches,34,84,,Routine - Unscheduled,San Francisco,Low Risk,,,63286_20160613,63286,1198 Treat Ave,2016-06-13 00:00:00,Wiping cloths not clean or properly stored or inadequate sanitizer,63286_20160613_103149,,CA,94110
El Porteno I Restaurant,4.0,$$,Peruvian,88,85,37.715905,Routine - Unscheduled,San Francisco,Moderate Risk,"(37.715905, -122.441373)",,69606_20160720,69606,5173 MISSION St,2016-07-20 00:00:00,Foods not protected from contamination,69606_20160720_103133,-122.441373,CA,94112
El Rincon Yucateco,4.5,$,Mexican,65,100,,Routine - Unscheduled,San Francisco,,,,83305_20160127,83305,491 O'Farrell St,2016-01-27 00:00:00,,,,CA,94102
El Tepa,4.0,$,Mexican,108,92,37.762217,Routine - Unscheduled,San Francisco,Low Risk,"(37.762217, -122.415035)",,36348_20151119,36348,2198 Folsom St,2015-11-19 00:00:00,Improper food storage,36348_20151119_103139,-122.415035,CA,94110
El Tesoro Taqueria and Grill,3.5,$,Mexican,153,100,,Routine - Unscheduled,San Francisco,,,+14155200530,81707_20160322,81707,599 O'Farrell St,2016-03-22 00:00:00,,,,CA,94102
El Tomate Restaurant,4.0,$$,Mexican,70,85,37.752777,Routine - Unscheduled,San Francisco,Low Risk,"(37.752777, -122.410262)",,68483_20160816,68483,2904 24th St,2016-08-16 00:00:00,Unclean or degraded floors walls or ceilings,68483_20160816_103154,-122.410262,CA,94110
El Tonayense #3,4.0,$,Food Trucks,296,85,,Routine - Unscheduled,San Francisco,Low Risk,,,39426_20160528,39426,1700 Jerrold Ave,2016-05-28 00:00:00,Unclean or degraded floors walls or ceilings,39426_20160528_103154,,CA,94124
El Tonayense #4,4.0,$,Food Trucks,296,85,37.769426,Routine - Unscheduled,San Francisco,Low Risk,"(37.769426, -122.413446)",+14155556127,10373_20160528,10373,1717 Harrison St,2016-05-28 00:00:00,Inadequate warewashing facilities or equipment,10373_20160528_103143,-122.413446,CA,
El Toro,3.5,$,Mexican,566,89,,Routine - Unscheduled,San Francisco,Moderate Risk,,,85377_20170104,85377,2470 San Bruno Ave,2017-01-04 00:00:00,Inadequate and inaccessible handwashing facilities,85377_20170104_103119,,CA,94134
Elaine's Kitchen,4.0,$,Chinese,216,83,37.798178,Routine - Unscheduled,San Francisco,Low Risk,"(37.798178, -122.404484)",,2004_20160602,2004,434 Broadway St,2016-06-02 00:00:00,Wiping cloths not clean or properly stored or inadequate sanitizer,2004_20160602_103149,-122.404484,CA,94133
Elephant Sushi,4.0,$$,Sushi Bars,625,61,37.79861,Routine - Unscheduled,San Francisco,Low Risk,"(37.79861, -122.418867)",,69512_20160727,69512,1916 Hyde St,2016-07-27 00:00:00,Wiping cloths not clean or properly stored or inadequate sanitizer,69512_20160727_103149,-122.418867,CA,94109
Elephant Sushi 3,4.0,$$,Sushi Bars,625,96,,Routine - Unscheduled,San Francisco,Low Risk,,,77761_20160615,77761,705 Geary St,2016-06-15 00:00:00,Worker safety hazards,77761_20160615_103159,,CA,94109
Eleven O One,4.0,$,Sandwiches,201,90,37.787074,Routine - Unscheduled,San Francisco,Moderate Risk,"(37.787074, -122.419984)",,65677_20160505,65677,1101 Polk St,2016-05-05 00:00:00,Other moderate risk violation,65677_20160505_103134,-122.419984,CA,94109
Elite Audio Coffee & Wine Bar,4.5,$$,Coffee & Tea,185,94,37.757923,Routine - Unscheduled,San Francisco,Moderate Risk,"(37.757923, -122.393914)",,66966_20160726,66966,893 A Folsom St,2016-07-26 00:00:00,Inadequately cleaned or sanitized food contact surfaces,66966_20160726_103124,-122.393914,CA,94107
Ella's,3.5,$$,American (New),912,78,,Routine - Unscheduled,San Francisco,Moderate Risk,,+14155445669,79656_20151005,79656,500 Presidio Ave,2015-10-05 00:00:00,Moderate risk vermin infestation,79656_20151005_103131,,CA,94115
Elsy's Restaurant,3.5,$,Salvadoran,82,88,,Routine - Unscheduled,San Francisco,Moderate Risk,,+14155728521,68768_20160607,68768,2893 Mission St,2016-06-07 00:00:00,Inadequately cleaned or sanitized food contact surfaces,68768_20160607_103124,,CA,94110
Emanuel Coffee,4.5,$,Breakfast & Brunch,88,81,,Routine - Unscheduled,San Francisco,High Risk,,+14155670782,81328_20160909,81328,488 Haight St,2016-09-09 00:00:00,High risk food holding temperature,81328_20160909_103103,,CA,94117
Emma's Coffeehouse,3.5,$,Coffee & Tea,64,85,37.780273,Routine - Unscheduled,San Francisco,High Risk,"(37.780273, -122.479129)",,61728_20160920,61728,5549 GEARY Blvd,2016-09-20 00:00:00,High risk vermin infestation,61728_20160920_103114,-122.479129,CA,94121
Emmy's Spaghetti Shack,4.0,$$,Italian,265,96,,Routine - Unscheduled,San Francisco,Low Risk,,,80486_20161128,80486,3230 Mission St,2016-11-28 00:00:00,Improper storage of equipment utensils or linens,80486_20161128_103145,,CA,94110
Emo's Cafe & Deli,3.5,$,Coffee & Tea,36,90,,Routine - Unscheduled,San Francisco,Low Risk,,,75850_20160711,75850,201 A Turk St,2016-07-11 00:00:00,Food safety certificate or food handler card not available,75850_20160711_103157,,CA,94102
Empero Taste,3.5,$$,Chinese,182,74,37.77554,Routine - Unscheduled,San Francisco,Moderate Risk,"(37.77554, -122.502142)",,68403_20160128,68403,4052 BALBOA St,2016-01-28 00:00:00,Improper thawing methods,68403_20160128_103132,-122.502142,CA,94121
Emporio Rulli Il Caffe at Union Square,3.0,$$,Coffee & Tea,252,88,37.787936,Routine - Unscheduled,San Francisco,Moderate Risk,"(37.787936, -122.406712)",,1710_20160407,1710,225 Stockton St,2016-04-07 00:00:00,Moderate risk food holding temperature,1710_20160407_103120,-122.406712,CA,94108
Enjoy Vegetarian Restaurant,4.0,$$,Vegetarian,457,86,37.760198,Routine - Unscheduled,San Francisco,Low Risk,"(37.760198, -122.469081)",,17647_20150623,17647,754 KIRKHAM St,2015-06-23 00:00:00,Improper food storage,17647_20150623_103139,-122.469081,CA,94122
Enjoy Vegetarian Restaurant #2,4.0,$$,Vegan,384,96,37.795675,Routine - Unscheduled,San Francisco,Low Risk,"(37.795675, -122.405098)",,59215_20170103,59215,839 Kearny St,2017-01-03 00:00:00,Improper food storage,59215_20170103_103139,-122.405098,CA,94108
Epic Roasthouse,3.5,$$$,Steakhouses,1815,92,37.788613,Routine - Unscheduled,San Francisco,Moderate Risk,"(37.788613, -122.393894)",,36512_20160825,36512,369 Embarcadero,2016-08-25 00:00:00,Inadequately cleaned or sanitized food contact surfaces,36512_20160825_103124,-122.393894,CA,94105
Epic Roasthouse,3.5,$$$,Steakhouses,1815,98,37.788962,Routine - Unscheduled,San Francisco,Low Risk,"(37.788962, -122.387941)",,36547_20160825,36547,Pier 26 Embararcadero,2016-08-25 00:00:00,Unclean or degraded floors walls or ceilings,36547_20160825_103154,-122.387941,CA,95105
Epicenter Cafe LLC,4.5,$$,Music Venues,750,89,37.781384,Routine - Unscheduled,San Francisco,High Risk,"(37.781384, -122.398909)",+14155545436,38091_20160518,38091,764 Harrison St,2016-05-18 00:00:00,Unclean hands or improper use of gloves,38091_20160518_103102,-122.398909,CA,94107
Equator Coffees & Teas,4.0,$$,Coffee & Tea,108,94,,Routine - Unscheduled,San Francisco,Low Risk,,+14155309594,80295_20161020,80295,986 Market St,2016-10-20 00:00:00,Permit license or inspection report not posted,80295_20161020_103156,,CA,94102
Escape From New York Pizza,4.0,$,Pizza,947,100,37.769423,Routine - Unscheduled,San Francisco,,"(37.769423, -122.451227)",,58781_20160715,58781,1737 Haight St,2016-07-15 00:00:00,,,-122.451227,CA,94117
Escape From New York Pizza,3.5,$,Pizza,234,94,37.790844,Routine - Unscheduled,San Francisco,Low Risk,"(37.790844, -122.403168)",,1867_20160412,1867,333 Bush St #103,2016-04-12 00:00:00,Other low risk violation,1867_20160412_103162,-122.403168,CA,94104
Escape From New York Pizza,3.5,$,Pizza,335,96,37.796254,Routine - Unscheduled,San Francisco,Low Risk,"(37.796254, -122.421864)",,33077_20160325,33077,2109 Polk St,2016-03-25 00:00:00,Improper or defective plumbing,33077_20160325_103150,-122.421864,CA,94109
