business_name,inspection_score,business_latitude,inspection_type,business_city,risk_category,business_location,business_phone_number,inspection_id,business_id,business_address,inspection_date,violation_description,violation_id,business_longitude,business_state,business_postal_code
Walgreens #5618,96,37.791235,Routine - Unscheduled,San Francisco,Moderate Risk,"(37.791235, -122.400646)",,68288_20170109,68288,100 Sansome St,2017-01-09 00:00:00,Moderate risk vermin infestation,68288_20170109_103131,-122.400646,CA,94104
Moolicious Cafe and Crepe,98,37.790415,Routine - Unscheduled,San Francisco,Low Risk,"(37.790415, -122.400615)",,68766_20170109,68766,1 Sansome St #105,2017-01-09 00:00:00,Improper storage of equipment utensils or linens,68766_20170109_103145,-122.400615,CA,94104
Mint,88,37.778492,Routine - Unscheduled,San Francisco,Low Risk,"(37.778492, -122.418291)",,64745_20170106,64745,1 Dr Carlton B. Goodlett Pl Basement,2017-01-06 00:00:00,Low risk vermin infestation,64745_20170106_103161,-122.418291,CA,94102
Potrero Shell,90,37.752974,Routine - Unscheduled,San Francisco,Moderate Risk,"(37.752974, -122.38796)",,62780_20170106,62780,2890 03rd St,2017-01-06 00:00:00,Moderate risk food holding temperature,62780_20170106_103120,-122.38796,CA,94107
Pat's Cafe,88,37.803947,Routine - Unscheduled,San Francisco,Moderate Risk,"(37.803947, -122.414927)",,1852_20170106,1852,2330 Taylor St,2017-01-06 00:00:00,Moderate risk food holding temperature,1852_20170106_103120,-122.414927,CA,94133
Mission Martco,96,37.716782,Routine - Unscheduled,San Francisco,Moderate Risk,"(37.716782, -122.440816)",,59016_20170106,59016,5098 MISSION St,2017-01-06 00:00:00,Inadequately cleaned or sanitized food contact surfaces,59016_20170106_103124,-122.440816,CA,94112
Azalina's,94,,Routine - Unscheduled,San Francisco,Low Risk,,,80659_20170106,80659,1355 Market St,2017-01-06 00:00:00,Food safety certificate or food handler card not available,80659_20170106_103157,,CA,94103
Carmelina's Cafe,87,37.767664,Routine - Unscheduled,San Francisco,Low Risk,"(37.767664, -122.415456)",,65396_20170106,65396,1855 Folsom St,2017-01-06 00:00:00,Improper food storage,65396_20170106_103139,-122.415456,CA,94103
TANCCA,90,,Routine - Unscheduled,San Francisco,Moderate Risk,,,84381_20170106,84381,776 Broadway St,2017-01-06 00:00:00,Inadequate and inaccessible handwashing facilities,84381_20170106_103119,,CA,94133
Power Up Cafe,94,37.769827,Routine - Unscheduled,San Francisco,Low Risk,"(37.769827, -122.407242)",+14155835293,18330_20170106,18330,1001 BRANNAN St,2017-01-06 00:00:00,Improper food storage,18330_20170106_103139,-122.407242,CA,94103
Roadhouse Cafe,96,37.730959,Routine - Unscheduled,San Francisco,Low Risk,"(37.730959, -122.39194)",,30532_20170106,30532,5191 03rd St,2017-01-06 00:00:00,Permit license or inspection report not posted,30532_20170106_103156,-122.39194,CA,94124
Harrison Shell,90,37.773568,Routine - Unscheduled,San Francisco,Moderate Risk,"(37.773568, -122.408712)",,62785_20170106,62785,1201 Harrison St,2017-01-06 00:00:00,Inadequate and inaccessible handwashing facilities,62785_20170106_103119,-122.408712,CA,94103
Blueprint Tap Room,83,,Routine - Unscheduled,San Francisco,High Risk,,,78018_20170106,78018,680 08th St Ste.#170,2017-01-06 00:00:00,High risk food holding temperature,78018_20170106_103103,,CA,94103
Reveille Coffee Co.,96,,Routine - Unscheduled,San Francisco,Moderate Risk,,+14155508336,76156_20170106,76156,4080 18th St,2017-01-06 00:00:00,Inadequately cleaned or sanitized food contact surfaces,76156_20170106_103124,,CA,94114
Philz Coffee,100,,Routine - Unscheduled,San Francisco,,,,82033_20170106,82033,1258 Minnesota St,2017-01-06 00:00:00,,,,CA,94107
ANCHOR OYSTER BAR INC.,93,37.759613,Routine - Unscheduled,San Francisco,High Risk,"(37.759613, -122.434817)",+14155433990,1294_20170106,1294,579 Castro St,2017-01-06 00:00:00,Unclean hands or improper use of gloves,1294_20170106_103102,-122.434817,CA,94114
L'acajou Bakery and Cafe,76,,Routine - Unscheduled,San Francisco,Moderate Risk,,,73840_20170105,73840,498 09th St Ste. C,2017-01-05 00:00:00,Inadequately cleaned or sanitized food contact surfaces,73840_20170105_103124,,CA,94103
BURGERMEISTER,86,37.768776,Routine - Unscheduled,San Francisco,Low Risk,"(37.768776, -122.429095)",+14155432874,2627_20170105,2627,Church St,2017-01-05 00:00:00,Improper storage use or identification of toxic substances,2627_20170105_103138,-122.429095,CA,94114
JIM GEORGIE'S DONUT,80,37.765262,Routine - Unscheduled,San Francisco,Moderate Risk,"(37.765262, -122.41523)",+14155867112,4907_20170105,4907,2799 16th St,2017-01-05 00:00:00,Moderate risk vermin infestation,4907_20170105_103131,-122.41523,CA,94103
Lava Restaurant & Lounge,87,37.780728,Routine - Unscheduled,San Francisco,High Risk,"(37.780728, -122.396522)",,35855_20170105,35855,527 BRYANT St,2017-01-05 00:00:00,Unclean or unsanitary food contact surfaces,35855_20170105_103109,-122.396522,CA,94107
Andersen Bread,94,37.777053,Routine - Unscheduled,San Francisco,Moderate Risk,"(37.777053, -122.416939)",+14150427100,64805_20170105,64805,1390 Market St Suite 110,2017-01-05 00:00:00,Moderate risk food holding temperature,64805_20170105_103120,-122.416939,CA,94102
Courtney's Produce II,92,37.767194,Routine - Unscheduled,San Francisco,Low Risk,"(37.767194, -122.435576)",+14155621850,4479_20170105,4479,101 CASTRO St,2017-01-05 00:00:00,Improper food labeling or menu misrepresentation,4479_20170105_103141,-122.435576,CA,94114
PRIMO PATIO CAFE,88,37.778593,Routine - Unscheduled,San Francisco,Moderate Risk,"(37.778593, -122.393149)",+14155951129,1677_20170105,1677,214 Townsend St,2017-01-05 00:00:00,Foods not protected from contamination,1677_20170105_103133,-122.393149,CA,94107
Swamp Restaurant,90,,Routine - Unscheduled,San Francisco,Low Risk,,+14155872828,90256_20170105,90256,5423 Geary Blvd,2017-01-05 00:00:00,Inadequate warewashing facilities or equipment,90256_20170105_103143,,CA,94121
Congregation Adath Israel,98,,Routine - Unscheduled,San Francisco,Low Risk,,+14155565665,86074_20170105,86074,1851 Noriega St,2017-01-05 00:00:00,Unclean or degraded floors walls or ceilings,86074_20170105_103154,,CA,94122
VICTOR'S,90,37.778634,Routine - Unscheduled,San Francisco,Low Risk,"(37.778634, -122.393089)",+14155607018,4794_20170105,4794,210 TOWNSEND St,2017-01-05 00:00:00,Food safety certificate or food handler card not available,4794_20170105_103157,-122.393089,CA,94107
Darwin Cafe,74,37.780607,Routine - Unscheduled,San Francisco,High Risk,"(37.780607, -122.396099)",,39528_20170105,39528,212 Ritch St,2017-01-05 00:00:00,High risk vermin infestation,39528_20170105_103114,-122.396099,CA,94107
Volcano Kitchen,94,37.780515,Routine - Unscheduled,San Francisco,Moderate Risk,"(37.780515, -122.477846)",,39695_20170105,39695,5454 GEARY Blvd,2017-01-05 00:00:00,Inadequately cleaned or sanitized food contact surfaces,39695_20170105_103124,-122.477846,CA,94121
NORIEGA TERIYAKI HOUSE,92,37.753953,Routine - Unscheduled,San Francisco,Moderate Risk,"(37.753953, -122.482629)",,3190_20170105,3190,1755 NORIEGA St,2017-01-05 00:00:00,Foods not protected from contamination,3190_20170105_103133,-122.482629,CA,94122
Noeteca,96,,Routine - Unscheduled,San Francisco,Moderate Risk,,+14155825524,90010_20170105,90010,1551 Dolores St,2017-01-05 00:00:00,Inadequate and inaccessible handwashing facilities,90010_20170105_103119,,CA,94110
Champa Garden,87,,Routine - Unscheduled,San Francisco,Low Risk,,+14155344186,75402_20170105,75402,613 Faxon Ave,2017-01-05 00:00:00,Unclean unmaintained or improperly constructed toilet facilities,75402_20170105_103152,,CA,94112
OMI Senior Center,100,37.717298,Routine - Unscheduled,San Francisco,,"(37.717298, -122.471709)",,63943_20170105,63943,65 Beverly St,2017-01-05 00:00:00,,,-122.471709,CA,94132
KING OF THAI NOODLE HOUSE,80,37.782833,Routine - Unscheduled,San Francisco,High Risk,"(37.782833, -122.46615)",,1350_20170105,1350,639 CLEMENT St,2017-01-05 00:00:00,Improper reheating of food,1350_20170105_103107,-122.46615,CA,94118
Fine and Rare,94,,Routine - Unscheduled,San Francisco,Low Risk,,,83475_20170105,83475,555 Golden Gate Ave,2017-01-05 00:00:00,Improper or defective plumbing,83475_20170105_103150,,CA,94102
BIO,86,37.786633,Routine - Unscheduled,San Francisco,Low Risk,"(37.786633, -122.405972)",,1458_20170105,1458,75 O'Farrell St,2017-01-05 00:00:00,Improper or defective plumbing,1458_20170105_103150,-122.405972,CA,94108
GOLDEN PRODUCE,92,37.768187,Routine - Unscheduled,San Francisco,Moderate Risk,"(37.768187, -122.429024)",+14155431536,7207_20170105,7207,172 CHURCH St,2017-01-05 00:00:00,Moderate risk vermin infestation,7207_20170105_103131,-122.429024,CA,94114
RICE GARDEN,94,37.733944,Routine - Unscheduled,San Francisco,Moderate Risk,"(37.733944, -122.490438)",,4686_20170105,4686,1515 SLOAT Blvd,2017-01-05 00:00:00,Inadequately cleaned or sanitized food contact surfaces,4686_20170105_103124,-122.490438,CA,94132
Victory Hall And Parlor,94,,Routine - Unscheduled,San Francisco,Moderate Risk,,,75406_20170105,75406,360 Ritch St,2017-01-05 00:00:00,Inadequate and inaccessible handwashing facilities,75406_20170105_103119,,CA,94107
BRYANT SHELL #4,98,37.779764,Routine - Unscheduled,San Francisco,Low Risk,"(37.779764, -122.397869)",,7608_20170105,7608,598 BRYANT St,2017-01-05 00:00:00,Unclean nonfood contact surfaces,7608_20170105_103142,-122.397869,CA,94107
Lidia's Cafe & Restaurant,90,,Routine - Unscheduled,San Francisco,Low Risk,,,71641_20170105,71641,550 15th St Space #5,2017-01-05 00:00:00,Unapproved or unmaintained equipment or utensils,71641_20170105_103144,,CA,94103
Good Luck Dim Sum,72,,Routine - Unscheduled,San Francisco,High Risk,,,77960_20170105,77960,736 Clement St,2017-01-05 00:00:00,High risk food holding temperature,77960_20170105_103103,,CA,94118
Mango's Taqueria & Cantina,84,,Routine - Unscheduled,San Francisco,Low Risk,,,69750_20170105,69750,"Pier 39  P-214-A2,3,4",2017-01-05 00:00:00,No thermometers or uncalibrated thermometers,69750_20170105_103148,,CA,94133
TIO CHILOS GRILL,86,37.752807,Routine - Unscheduled,San Francisco,Low Risk,"(37.752807, -122.409752)",,1797_20170105,1797,2872 24th St,2017-01-05 00:00:00,Unclean or degraded floors walls or ceilings,1797_20170105_103154,-122.409752,CA,94110
Grandma's Deli & Cafe,96,,Routine - Unscheduled,San Francisco,Low Risk,,,69194_20170105,69194,1551 Mission St,2017-01-05 00:00:00,Inadequate ventilation or lighting,69194_20170105_103147,,CA,94103
Dear Mom,88,37.765459,Routine - Unscheduled,San Francisco,Low Risk,"(37.765459, -122.413462)",,67833_20170105,67833,2700 16th St,2017-01-05 00:00:00,Low risk vermin infestation,67833_20170105_103161,-122.413462,CA,94103
Cathead's BBQ,93,37.770126,Routine - Unscheduled,San Francisco,High Risk,"(37.770126, -122.415342)",,70090_20170105,70090,1665 FOLSOM St,2017-01-05 00:00:00,Improper cooling methods,70090_20170105_103105,-122.415342,CA,94103
Good MongKok Bakery,78,,Routine - Unscheduled,San Francisco,Moderate Risk,,,80081_20170104,80081,1039 Stockton St,2017-01-04 00:00:00,Moderate risk food holding temperature,80081_20170104_103120,,CA,94108
DESTINATION BAKING COMPANY,86,37.734619,Routine - Unscheduled,San Francisco,Low Risk,"(37.734619, -122.432379)",+14155460730,5033_20170104,5033,598 Chenery St,2017-01-04 00:00:00,Inadequate ventilation or lighting,5033_20170104_103147,-122.432379,CA,94131
Tang Collection,86,,Routine - Unscheduled,San Francisco,Moderate Risk,,+14155666888,89798_20170104,89798,1033 Taraval St,2017-01-04 00:00:00,Moderate risk food holding temperature,89798_20170104_103120,,CA,94116
Rolling-Out,94,37.742678,Routine - Unscheduled,San Francisco,Moderate Risk,"(37.742678, -122.484682)",,67567_20170104,67567,1722 Taraval St,2017-01-04 00:00:00,Inadequately cleaned or sanitized food contact surfaces,67567_20170104_103124,-122.484682,CA,94116
Moolicious,94,37.784548,Routine - Unscheduled,San Francisco,Low Risk,"(37.784548, -122.40419)",,69722_20170104,69722,101 4th St  #9120,2017-01-04 00:00:00,Improper storage of equipment utensils or linens,69722_20170104_103145,-122.40419,CA,94103
J C Market,73,37.795788,Routine - Unscheduled,San Francisco,Low Risk,"(37.795788, -122.408834)",,6619_20170104,6619,830 Jackson St,2017-01-04 00:00:00,Improper food storage,6619_20170104_103139,-122.408834,CA,94133
El Toro,89,,Routine - Unscheduled,San Francisco,Moderate Risk,,,85377_20170104,85377,2470 San Bruno Ave,2017-01-04 00:00:00,Inadequate and inaccessible handwashing facilities,85377_20170104_103119,,CA,94134
Bar Nua,86,,Routine - Unscheduled,San Francisco,Moderate Risk,,,83773_20170104,83773,561 Columbus Ave,2017-01-04 00:00:00,Insufficient hot water or running water,83773_20170104_103129,,CA,94133
Golden Gate Indian Cuisine & Pizza,86,37.758941,Routine - Unscheduled,San Francisco,Low Risk,"(37.758941, -122.48591)",,64195_20170104,64195,1388 C 46th Ave,2017-01-04 00:00:00,Unapproved or unmaintained equipment or utensils,64195_20170104_103144,-122.48591,CA,94122
Regent Thai Restaurant,86,37.743567,Routine - Unscheduled,San Francisco,Low Risk,"(37.743567, -122.426685)",,34865_20170104,34865,1700 Church St,2017-01-04 00:00:00,Unapproved or unmaintained equipment or utensils,34865_20170104_103144,-122.426685,CA,94131
Beard Papa,89,37.785638,Routine - Unscheduled,San Francisco,High Risk,"(37.785638, -122.404189)",,19386_20170104,19386,99 Yerba Buena Ln,2017-01-04 00:00:00,Unclean hands or improper use of gloves,19386_20170104_103102,-122.404189,CA,94103
Stoner's Sandwiches of San Francisco,94,,Routine - Unscheduled,San Francisco,Moderate Risk,,,88128_20170104,88128,752 Van Ness Ave,2017-01-04 00:00:00,Moderate risk food holding temperature,88128_20170104_103120,,CA,
Ben & Jerry's,98,37.808494,Routine - Unscheduled,San Francisco,Low Risk,"(37.808494, -122.412)",,795_20170104,795,Pier 41,2017-01-04 00:00:00,Unclean or degraded floors walls or ceilings,795_20170104_103154,-122.412,CA,94133
T-28 Bakery & Café,90,,Routine - Unscheduled,San Francisco,Low Risk,,+14155688200,85095_20170104,85095,1753 Taraval St,2017-01-04 00:00:00,Improper food storage,85095_20170104_103139,,CA,94116
Cafe Capriccio,94,,Routine - Unscheduled,San Francisco,Low Risk,,,79167_20170104,79167,2200 Mason St,2017-01-04 00:00:00,Unclean or degraded floors walls or ceilings,79167_20170104_103154,,CA,
Tortas Los Picudos,92,37.752653,Routine - Unscheduled,San Francisco,Moderate Risk,"(37.752653, -122.411359)",,62739_20170104,62739,2969 24th St,2017-01-04 00:00:00,Inadequately cleaned or sanitized food contact surfaces,62739_20170104_103124,-122.411359,CA,94110
GGP MARKET,94,37.752748,Routine - Unscheduled,San Francisco,Low Risk,"(37.752748, -122.410822)",,7663_20170104,7663,2948 24th St,2017-01-04 00:00:00,Unclean nonfood contact surfaces,7663_20170104_103142,-122.410822,CA,94110
NEW SWEETHEART BAKERY,90,37.752756,Routine - Unscheduled,San Francisco,Low Risk,"(37.752756, -122.411086)",,7771_20170104,7771,2956 24th St,2017-01-04 00:00:00,Improper food storage,7771_20170104_103139,-122.411086,CA,94110
Juice Shop,87,,Routine - Unscheduled,San Francisco,High Risk,,,84095_20170104,84095,2 Trinity Pl,2017-01-04 00:00:00,Unclean hands or improper use of gloves,84095_20170104_103102,,CA,94104
Illy Caffe SF_Battery Street,89,,Routine - Unscheduled,San Francisco,High Risk,,,85333_20170104,85333,123 Battery St,2017-01-04 00:00:00,Unclean or unsanitary food contact surfaces,85333_20170104_103109,,CA,94111
Ichi Kakiya,100,,Routine - Unscheduled,San Francisco,,,,82601_20170104,82601,3369 Mission St,2017-01-04 00:00:00,,,,CA,94110
Specialty's Cafe & Bakery,96,,Routine - Unscheduled,San Francisco,Moderate Risk,,,84708_20170104,84708,100 California St,2017-01-04 00:00:00,Inadequate procedures or records for time as a public health control,84708_20170104_103121,,CA,94111
H20 Cafe,90,37.789288,Routine - Unscheduled,San Francisco,Low Risk,"(37.789288, -122.420387)",,62708_20170104,62708,1330 Polk St,2017-01-04 00:00:00,Improper or defective plumbing,62708_20170104_103150,-122.420387,CA,94109
JIM'S SMOKE SHOP,88,37.760568,Routine - Unscheduled,San Francisco,Low Risk,"(37.760568, -122.387772)",,200_20170104,200,600 20th St,2017-01-04 00:00:00,Inadequate ventilation or lighting,200_20170104_103147,-122.387772,CA,94107
Tea Plus,88,,Routine - Unscheduled,San Francisco,Low Risk,,,80631_20170104,80631,2541 San Bruno Ave,2017-01-04 00:00:00,Unapproved or unmaintained equipment or utensils,80631_20170104_103144,,CA,94134
Mr. & Mrs. Tea House LLC,88,,Routine - Unscheduled,San Francisco,Moderate Risk,,,85185_20170104,85185,544 Clement St,2017-01-04 00:00:00,Inadequately cleaned or sanitized food contact surfaces,85185_20170104_103124,,CA,94118
JOLT N' BOLT,100,37.759868,Routine - Unscheduled,San Francisco,,"(37.759868, -122.387584)",,7857_20170104,7857,2325 03rd St 100,2017-01-04 00:00:00,,,-122.387584,CA,94107
Magnolia Brewing Company,84,,Routine - Unscheduled,San Francisco,Moderate Risk,,,78178_20170104,78178,2505 03rd St,2017-01-04 00:00:00,Insufficient hot water or running water,78178_20170104_103129,,CA,94107
Thai Thai Noodle 2,83,,Routine - Unscheduled,San Francisco,Low Risk,,,77778_20170104,77778,1400 California St,2017-01-04 00:00:00,No thermometers or uncalibrated thermometers,77778_20170104_103148,,CA,94109
Gilberth's Rottiserie & Grill,88,37.758903,Routine - Unscheduled,San Francisco,Moderate Risk,"(37.758903, -122.388238)",,68105_20170104,68105,2427 03rd St,2017-01-04 00:00:00,Moderate risk food holding temperature,68105_20170104_103120,-122.388238,CA,94107
Cathay Express Restaurant,87,,Routine - Unscheduled,San Francisco,Low Risk,,+14155433229,83572_20170104,83572,720 14th St,2017-01-04 00:00:00,Wiping cloths not clean or properly stored or inadequate sanitizer,83572_20170104_103149,,CA,94114
5 Degree Tea House,90,37.729753,Routine - Unscheduled,San Francisco,Low Risk,"(37.729753, -122.40447)",+14155828233,70685_20170104,70685,2527 SAN BRUNO Ave,2017-01-04 00:00:00,Wiping cloths not clean or properly stored or inadequate sanitizer,70685_20170104_103149,-122.40447,CA,94134
Inga Donuts,90,37.790347,Routine - Unscheduled,San Francisco,Moderate Risk,"(37.790347, -122.417227)",,279_20170104,279,1026 Hyde St,2017-01-04 00:00:00,Improper thawing methods,279_20170104_103132,-122.417227,CA,94109
GLOBAL GOURMET CATERING,100,37.758887,Routine - Unscheduled,San Francisco,,"(37.758887, -122.387493)",,5232_20170104,5232,1030 ILLINOIS St,2017-01-04 00:00:00,,,-122.387493,CA,94107
The Slice,96,,Routine - Unscheduled,San Francisco,Low Risk,,+14155431722,80996_20170104,80996,719 14th St,2017-01-04 00:00:00,Unapproved or unmaintained equipment or utensils,80996_20170104_103144,,CA,94114
Yong Fong Co.,94,37.782939,Routine - Unscheduled,San Francisco,Low Risk,"(37.782939, -122.465631)",+14155835617,68467_20170104,68467,612 Clement St,2017-01-04 00:00:00,Unclean or degraded floors walls or ceilings,68467_20170104_103154,-122.465631,CA,94118
Long Bridge Pizza Company,100,,Routine - Unscheduled,San Francisco,,,,76442_20170104,76442,2347 03rd St,2017-01-04 00:00:00,,,,CA,94107
Panuchos,83,,Routine - Unscheduled,San Francisco,Low Risk,,,89393_20170103,89393,620 Broadway St,2017-01-03 00:00:00,Unclean or degraded floors walls or ceilings,89393_20170103_103154,,CA,94133
New Luen Sing Fish Market,83,37.796973,Routine - Unscheduled,San Francisco,Moderate Risk,"(37.796973, -122.408504)",,58673_20170103,58673,1207 Stockton St,2017-01-03 00:00:00,Moderate risk vermin infestation,58673_20170103_103131,-122.408504,CA,94133
Black Sands,92,,Routine - Unscheduled,San Francisco,Low Risk,,+14155535194,79121_20170103,79121,701 Haight St,2017-01-03 00:00:00,No thermometers or uncalibrated thermometers,79121_20170103_103148,,CA,94117
Arsicault Bakery,96,,Routine - Unscheduled,San Francisco,Low Risk,,+14158982739,81264_20170103,81264,397 Arguello Blvd,2017-01-03 00:00:00,Unclean or degraded floors walls or ceilings,81264_20170103_103154,,CA,94118
Victoria Pastry Co.,96,37.8012,Routine - Unscheduled,San Francisco,Low Risk,"(37.8012, -122.411191)",+14155981655,69172_20170103,69172,700 Filbert St,2017-01-03 00:00:00,Unapproved or unmaintained equipment or utensils,69172_20170103_103144,-122.411191,CA,94133
CASA MEXICANA,88,37.768127,Routine - Unscheduled,San Francisco,Low Risk,"(37.768127, -122.429024)",+14155802771,2759_20170103,2759,180 CHURCH,2017-01-03 00:00:00,Unclean nonfood contact surfaces,2759_20170103_103142,-122.429024,CA,94114
Pho #1,79,37.729254,Routine - Unscheduled,San Francisco,Low Risk,"(37.729254, -122.40426)",+14155339289,35199_20170103,35199,2571 SAN BRUNO Ave,2017-01-03 00:00:00,Unapproved or unmaintained equipment or utensils,35199_20170103_103144,-122.40426,CA,94134
GENE'S LIQUOR,94,37.742403,Routine - Unscheduled,San Francisco,Low Risk,"(37.742403, -122.48979)",,4544_20170103,4544,2201 TARAVAL St,2017-01-03 00:00:00,Unclean or degraded floors walls or ceilings,4544_20170103_103154,-122.48979,CA,94116
House of Donuts/Copper Kettle,90,37.742438,Routine - Unscheduled,San Francisco,Moderate Risk,"(37.742438, -122.490301)",,3216_20170103,3216,2240 TARAVAL St,2017-01-03 00:00:00,Inadequate and inaccessible handwashing facilities,3216_20170103_103119,-122.490301,CA,94116
SAN BRUNO SUPERMARKET,74,37.730527,Routine - Unscheduled,San Francisco,High Risk,"(37.730527, -122.404861)",,4803_20170103,4803,2480 SAN BRUNO Ave,2017-01-03 00:00:00,High risk food holding temperature,4803_20170103_103103,-122.404861,CA,94134
BURRITO EXPRESS,91,37.742673,Routine - Unscheduled,San Francisco,High Risk,"(37.742673, -122.48334)",,588_20170103,588,1601 TARAVAL St,2017-01-03 00:00:00,Unclean or unsanitary food contact surfaces,588_20170103_103109,-122.48334,CA,94116
Eden Cafe,84,,Routine - Unscheduled,San Francisco,Moderate Risk,,,69584_20170103,69584,47 FRANKLIN St,2017-01-03 00:00:00,Inadequate and inaccessible handwashing facilities,69584_20170103_103119,,CA,94102
Joe's Ice Cream,96,37.780488,Routine - Unscheduled,San Francisco,Moderate Risk,"(37.780488, -122.477751)",,68784_20170103,68784,5420 Geary Blvd,2017-01-03 00:00:00,Insufficient hot water or running water,68784_20170103_103129,-122.477751,CA,94121
Subway Sandwiches #27662,98,,Routine - Unscheduled,San Francisco,Low Risk,,,76503_20170103,76503,388 Market St #102,2017-01-03 00:00:00,Improper or defective plumbing,76503_20170103_103150,,CA,94111
Hong Kong Clay Pot City Restaurant,77,37.795868,Routine - Unscheduled,San Francisco,Low Risk,"(37.795868, -122.406557)",,2216_20170103,2216,960 Grant Ave,2017-01-03 00:00:00,Unclean or degraded floors walls or ceilings,2216_20170103_103154,-122.406557,CA,94108
Yum Yum Hunan,77,37.786578,Routine - Unscheduled,San Francisco,Moderate Risk,"(37.786578, -122.440096)",,38442_20170103,38442,1828 DIVISADERO St,2017-01-03 00:00:00,Moderate risk vermin infestation,38442_20170103_103131,-122.440096,CA,94115
Dinosaurs,87,,Routine - Unscheduled,San Francisco,Low Risk,,+14155676430,69527_20170103,69527,2522 Ocean Ave.,2017-01-03 00:00:00,Food safety certificate or food handler card not available,69527_20170103_103157,,CA,94132
Shido Restaurant,93,,Routine - Unscheduled,San Francisco,High Risk,,+14155571131,78889_20170103,78889,1655 Market St,2017-01-03 00:00:00,Unclean or unsanitary food contact surfaces,78889_20170103_103109,,CA,94103
Starbucks Coffee,88,37.791742,Routine - Unscheduled,San Francisco,Low Risk,"(37.791742, -122.398373)",,4819_20170103,4819,398 Market St,2017-01-03 00:00:00,Permit license or inspection report not posted,4819_20170103_103156,-122.398373,CA,94111
JITRA THAI CUISINE,83,37.731515,Routine - Unscheduled,San Francisco,High Risk,"(37.731515, -122.472953)",+14155587251,1936_20170103,1936,2545 OCEAN Ave,2017-01-03 00:00:00,High risk food holding temperature,1936_20170103_103103,-122.472953,CA,94132
Bun Mee,83,,Routine - Unscheduled,San Francisco,Moderate Risk,,,76401_20170103,76401,650 Market St,2017-01-03 00:00:00,Inadequately cleaned or sanitized food contact surfaces,76401_20170103_103124,,CA,94104
Enjoy Vegetarian Restaurant #2,96,37.795675,Routine - Unscheduled,San Francisco,Low Risk,"(37.795675, -122.405098)",,59215_20170103,59215,839 Kearny St,2017-01-03 00:00:00,Improper food storage,59215_20170103_103139,-122.405098,CA,94108
Sweet Mart,100,37.795188,Routine - Unscheduled,San Francisco,,"(37.795188, -122.405723)",,4985_20170103,4985,727 Washington St,2017-01-03 00:00:00,,,-122.405723,CA,94108
Limu & Shoyu,92,37.788014,Routine - Unscheduled,San Francisco,Moderate Risk,"(37.788014, -122.440756)",,36412_20170103,36412,2815 California St,2017-01-03 00:00:00,Moderate risk food holding temperature,36412_20170103_103120,-122.440756,CA,94115
Philz Coffee Truck,100,,Routine - Unscheduled,San Francisco,,,,81291_20170101,81291,250 Pine St,2017-01-01 00:00:00,,,,CA,94104
"Le Colonial, SF, LLC",98,37.788108,Routine - Unscheduled,San Francisco,Low Risk,"(37.788108, -122.412394)",,3935_20161230,3935,20 Cosmo Pl,2016-12-30 00:00:00,Unclean or degraded floors walls or ceilings,3935_20161230_103154,-122.412394,CA,94109
Jones,90,37.787117,Routine - Unscheduled,San Francisco,Moderate Risk,"(37.787117, -122.413186)",,64008_20161230,64008,620 Jones St,2016-12-30 00:00:00,Foods not protected from contamination,64008_20161230_103133,-122.413186,CA,94102
Ryoko's,84,37.788134,Routine - Unscheduled,San Francisco,Low Risk,"(37.788134, -122.411817)",,3495_20161230,3495,619 Taylor St,2016-12-30 00:00:00,Low risk vermin infestation,3495_20161230_103161,-122.411817,CA,94102
Cocobang,69,37.787657,Routine - Unscheduled,San Francisco,Moderate Risk,"(37.787657, -122.411627)",,21921_20161230,21921,550 Taylor St,2016-12-30 00:00:00,Inadequately cleaned or sanitized food contact surfaces,21921_20161230_103124,-122.411627,CA,94102
Hot Dog on a Stick,79,,Routine - Unscheduled,San Francisco,Low Risk,,+14150514500,87277_20161230,87277,3251 20th Ave 250-J,2016-12-30 00:00:00,Unapproved or unmaintained equipment or utensils,87277_20161230_103144,,CA,94132
Grand Coffee,81,37.754383,Routine - Unscheduled,San Francisco,Low Risk,"(37.754383, -122.418616)",,63169_20161230,63169,2663 Mission St,2016-12-30 00:00:00,Improper storage of equipment utensils or linens,63169_20161230_103145,-122.418616,CA,94110
Pedrito's,90,,Routine - Unscheduled,San Francisco,Low Risk,,+14155641815,84533_20161230,84533,3254 23rd St,2016-12-30 00:00:00,Food safety certificate or food handler card not available,84533_20161230_103157,,CA,94110
Mission Groceteria,96,37.754298,Routine - Unscheduled,San Francisco,Low Risk,"(37.754298, -122.411272)",,64004_20161230,64004,2950 23rd St,2016-12-30 00:00:00,Wiping cloths not clean or properly stored or inadequate sanitizer,64004_20161230_103149,-122.411272,CA,94110
LUCKY PORK MARKET,90,37.754513,Routine - Unscheduled,San Francisco,Low Risk,"(37.754513, -122.418626)",+14155644805,7645_20161230,7645,2659 MISSION St,2016-12-30 00:00:00,Improper food storage,7645_20161230_103139,-122.418626,CA,94110
Redford,96,37.786573,Routine - Unscheduled,San Francisco,Moderate Risk,"(37.786573, -122.414337)",,70515_20161230,70515,673 Geary St,2016-12-30 00:00:00,Foods not protected from contamination,70515_20161230_103133,-122.414337,CA,94102
Le Macaron French Pastries,98,,Routine - Unscheduled,San Francisco,Low Risk,,+14155619070,86272_20161230,86272,3251 20th Ave #156,2016-12-30 00:00:00,Improper food storage,86272_20161230_103139,,CA,94132
